num|territorio|municipio|uf|n_com|familias|area_terr|pct|titulos|conf
94|Casca|Mostardas|RS|1|85|2387.8596|51|INCRA:867.1367:2010-10-20;INCRA:333.3071:2010-11-20;INCRA:7.2976:2010-11-20;INCRA:0.9616:2010-11-20|alta
95|Itaboca-Quatro Bocas e Cacoal|Inhangapi|PA|2|84|446.6848|100|ITERPA:446.6848:2010-12-17|alta
96|Ramal do Piratuba|Abaetetuba|PA|1|176|959.8167|100|ITERPA:959.8167:2010-12-17|alta
97|Santa Quitéria e Itacoãzinho|Acará|PA|2|67|646.5774|100|ITERPA:646.5774:2010-12-17|alta
98|Jamari dos Pretos|Turiaçu|MA|1|162|14676.6814|45|ITERMA:6613.0630:2011-04-07|alta
99|Contenda|Viana|MA|1|55|1070.0259|100|ITERMA:1070.0259:2011-08-18|alta
100|Santa Rosa e Adjacencias|Viana|MA|1|40|343.5436|100|ITERMA:343.5436:2011-08-18|alta
101|Santa Rosa|Viana|MA|1|32|605.6808|100|ITERMA:605.6808:2011-08-18|alta
102|São Manoel|Viana|MA|1|22|223.3642|100|ITERMA:223.3642:2011-08-18|alta
103|Cajueiro|Viana|MA|1|65|271.2850|100|ITERMA:271.2850:2011-08-19|alta
104|Aguiar|Viana|MA|1|50|906.4145|100|ITERMA:906.4145:2011-08-22|alta
105|Carangueijo|Viana|MA|1|26|274.3079|100|ITERMA:274.3079:2011-08-22|alta
106|Ferreira|Viana|MA|1|50|309.1675|100|ITERMA:309.1675:2011-08-22|alta
107|Mucambo|Viana|MA|1|110|397.0043|100|ITERMA:397.0043:2011-08-22|alta
108|Colônia de São Miguel|Maracajú|MS|1|28|420.6821|79|INCRA:333.0736:2011-09-08|alta
109|Preto Fôrro|Cabo Frio|RJ|1|12|90.5403|100|ITERJ:90.5403:2011-11-04|alta
110|Barreira|Bacuri|MA|1|45|889.0185|100|ITERMA:889.0185:2011-12-19|alta
111|Bem Posta|Presidente Sarney|MA|1|64|385.1886|100|ITERMA:385.1886:2011-12-19|alta
112|Cutia e Cocal|Presidente Sarney|MA|2|66|17.6973|100|ITERMA:17.6973:2011-12-19|alta
113|Chácara Buriti|Campo Grande|MS|1|19|43.0080|28|INCRA:12.1812:2012-04-27|alta
114|Jacuíca|Matinha|MA|1|45|317.3447|100|ITERMA:317.3447:2012-06-26|alta
115|Graça|Matinha|MA|1|51|356.8969|100|ITERMA:356.8969:2012-06-26|alta
116|Mocambo-PA|Ourém|PA|1|102|657.6820|100|ITERPA:657.6820:2012-11-13|alta
117|Mocambo-SE|Porto da Folha|SE|1|113|2100.5400|34||media
118|Lagoa dos Campinhos|Amparo de São Francisco e Telha|SE|1|89|1263.9493|43||media
119|Porto Coris|Leme do Prado|MG|1|21|1121.4200|100|CEMIG:1121.4200:2013-05-24|alta
120|Terra da Liberdade|Cametá e Mocajuba|PA|8|189|11953.4934|100|ITERPA:11953.4934:2013-07-02|alta
121|Muruteuazinho|Santa Luzia do Pará|PA|1|38|628.4249|100|ITERPA:628.4249:2013-09-04|alta
122|São José de Bruno|Matinha|MA|1|38|386.8881|100|ITERMA:386.8881:2013-11-11|alta
123|Cutia II|Matinha|MA|1|110|99.2236|100|ITERMA:99.2236:2013-11-11|alta
124|São Benedito dos Carneiros|Olinda Nova do Maranhão|MA|1|45|219.2630|100|ITERMA:219.2630:2013-11-11|alta
125|Boqueirão|Icatu|MA|1|40|1637.3671|100|ITERMA:1637.3671:2013-11-11|alta
126|Cacoal|Viana|MA|1|71|114.0457|100|ITERMA:114.0457:2013-11-11|alta
127|São Raimundo da Pirativa|Santana|AP|1|13|23.4184|100|SPU***:23.4184:2013-11-13|alta
128|Pirangi|Capela|SE|1|43|128.1984|56|INCRA:71.3694:2013-12-05|alta
129|Rincão dos Martinianos|Restinga Seca|RS|1|55|98.6341|27|INCRA:1.4354:2014-06-11;INCRA:2.4550:2014-06-11;INCRA:7.2082:2014-06-11;INCRA:15.0617:2014-06-11|alta
130|Vazante|Seabra|BA|1|45|2495.4825|100|CDA:2495.4825:2014-06-27|alta
131|Jatobá|Patu|RN|1|45|219.1934|98||media
132|Invernada dos Negros|Campos Novos e Abdon Batista|SC|1|84|7952.9067|11||media
133|Conceição das Crioulas|Salgueiro|PE|1|750|16865.0678|12||media
134|Baixão Velho|Seabra|BA|1|95|3817.7706|100|CDA:3817.7706:2014-09-27|alta
135|Agreste|Seabra|BA|1|72|2340.5536|100|CDA:2340.5536:2014-09-27|alta
136|Conceição|Boninal|BA|1|178|2693.8879|100|CDA:2693.8879:2014-09-27|alta
137|Lagoa Verde|América Dourada|BA|1|75|1275.2692|100|CDA:1275.2692:2014-09-27|alta
138|Itaperinha|Tutoia|MA|1|61|715.1046|100|ITERMA:715.1046:2014-10-30|alta
139|Serra do Queimadão|Seabra|BA|1|150|1504.4741|100|CDA:1504.4741:2014-11-19|alta
140|Vão das Palmeiras|Seabra|BA|1|300|1022.0150|100|CDA:1022.0150:2014-11-19|alta
141|Mulungu|Boninal|BA|1|258|2378.5163|100|CDA:2378.5163:2014-11-19|alta
142|Cutia|Boninal|BA|1|258|1160.1228|100|CDA:1160.1228:2014-11-20|alta
143|Mocambo e Cachoeira|Seabra|BA|2|200|3376.0633|100|CDA:3376.0633:2014-11-20|alta
144|Santa Maria dos Pretos|Itapecuru Mirim|MA|1|352|5584.1620|11|INCRA:401.3321:2014-12-02;INCRA:206.1931:2014-12-02|media
145|Mata de São Benedito|Itapecuru Mirim|MA|1|35|1114.3978|5|INCRA:54.7880:2014-12-02|alta
146|Juçaral / São Francisco Malaquias|Vargem Grande|MA|1|28|1089.0918|57|INCRA:625.5662:2014-12-02|alta
147|Algodões|Jussara|BA|1|102|4193.8079|100|CDA:4193.8079:2014-12-12|alta
148|Boitaraca|Nilo Pessanha|BA|1|110|621.0781|100|CDA:621.0781:2014-12-12|alta
149|Sitio Novo|Jussara|BA|1|94|978.6809|100|CDA:978.6809:2014-12-15|alta
150|Castanhalzinho|Garrafão do Norte|PA|1|62|291.0781|100|ITERPA:291.0781:2015-06-20|alta
